id,scientificName,species,genus,family,phylum,class,eventDate,decimalLatitude,decimalLongitude,depth,minimumDepthInMeters,maximumDepthInMeters,country,locality,marine,basisOfRecord
0007ca41-86ca-4848-871d-e9acff30d055,Amphiprion clarkii,Amphiprion clarkii,Amphiprion,Pomacentridae,Chordata,Teleostei,2010-03-15T07:45:00-04:00,5.9670684483,73.3055483733,,,,,,True,HumanObservation
00098a89-94e8-4599-96f1-fe4fe2f08971,Platax teira,Platax teira,Platax,Ephippidae,Chordata,Teleostei,2019-11-17T11:05:00+01:00,5.9543954812,73.1219453026,,,,,,True,HumanObservation
000aad6c-5b3e-405e-9ee3-562859c1cb3c,Istigobius decoratus,Istigobius decoratus,Istigobius,Gobiidae,Chordata,Teleostei,,8.543261,81.218222,,,,Sri Lanka,,True,PreservedSpecimen
000b2a46-1bf7-4c95-a9e0-918eaef3b7ee,Symbolophorus rufinus,Symbolophorus rufinus,Symbolophorus,Myctophidae,Chordata,Teleostei,,3.45,73.8333333,,,,Maldives,,True,PreservedSpecimen
000b982e-0b86-473a-ab8e-d81e407eaa98,Cantherhines pardalis,Cantherhines pardalis,Cantherhines,Monacanthidae,Chordata,Teleostei,2021-09-27T11:58:00+02:00,1.0099775788,72.8715670109,,,,,,True,HumanObservation
000d7589-4bbb-46ec-8699-1dc7c9ec4786,Mulloidichthys flavolineatus,Mulloidichthys flavolineatus,Mulloidichthys,Mullidae,Chordata,Teleostei,1874,11.0,72.5,,,,,Lakshadweep Islands,True,HumanObservation
000da61f-0609-497f-93ea-20d2528d1420,Glossogobius giuris,Glossogobius giuris,Glossogobius,Gobiidae,Chordata,Teleostei,1941-01-17,9.925555,78.12422,,,,India,Madura.,True,PreservedSpecimen
000ee3df-1508-4c16-9ccb-6d435be81492,Ostorhinchus cookii,Ostorhinchus cookii,Ostorhinchus,Apogonidae,Chordata,Teleostei,1911-08-25,10.333582,76.077319,,,,India,Off coast of Travencore.,True,PreservedSpecimen
000f2557-5d3e-44fd-9fe8-1be252a94cee,Priacanthus,,Priacanthus,Priacanthidae,Chordata,Teleostei,2015-01-04/19,11.81545,92.27491667,308.0,291.0,325.0,India,Andaman Sea,True,HumanObservation
000f6de8-e34b-489a-b384-878446e6609a,Cephalopholis leopardus,Cephalopholis leopardus,Cephalopholis,Epinephelidae,Chordata,Teleostei,2011-12-12T17:47:00+05:00,2.0313645996,73.520507977,,,,,,True,HumanObservation
